Time,VAV_1:DesPer 1:Des Heat Mass Flow [kg/s],VAV_1:DesPer 1:Des Heat Cap [W],VAV_1:DesPer 1:Des Cool Mass Flow [kg/s],VAV_1:DesPer 1:Des Sens Cool Cap [W],VAV_1:DesPer 1:Des Tot Cool Cap [W],VAV_1:DesPer 2:Des Heat Mass Flow [kg/s],VAV_1:DesPer 2:Des Heat Cap [W],VAV_1:DesPer 2:Des Cool Mass Flow [kg/s],VAV_1:DesPer 2:Des Sens Cool Cap [W],VAV_1:DesPer 2:Des Tot Cool Cap [W],VAV_2:DesPer 1:Des Heat Mass Flow [kg/s],VAV_2:DesPer 1:Des Heat Cap [W],VAV_2:DesPer 1:Des Cool Mass Flow [kg/s],VAV_2:DesPer 1:Des Sens Cool Cap [W],VAV_2:DesPer 1:Des Tot Cool Cap [W],VAV_2:DesPer 2:Des Heat Mass Flow [kg/s],VAV_2:DesPer 2:Des Heat Cap [W],VAV_2:DesPer 2:Des Cool Mass Flow [kg/s],VAV_2:DesPer 2:Des Sens Cool Cap [W],VAV_2:DesPer 2:Des Tot Cool Cap [W],VAV_3:DesPer 1:Des Heat Mass Flow [kg/s],VAV_3:DesPer 1:Des Heat Cap [W],VAV_3:DesPer 1:Des Cool Mass Flow [kg/s],VAV_3:DesPer 1:Des Sens Cool Cap [W],VAV_3:DesPer 1:Des Tot Cool Cap [W],VAV_3:DesPer 2:Des Heat Mass Flow [kg/s],VAV_3:DesPer 2:Des Heat Cap [W],VAV_3:DesPer 2:Des Cool Mass Flow [kg/s],VAV_3:DesPer 2:Des Sens Cool Cap [W],VAV_3:DesPer 2:Des Tot Cool Cap [W],VAV_4:DesPer 1:Des Heat Mass Flow [kg/s],VAV_4:DesPer 1:Des Heat Cap [W],VAV_4:DesPer 1:Des Cool Mass Flow [kg/s],VAV_4:DesPer 1:Des Sens Cool Cap [W],VAV_4:DesPer 1:Des Tot Cool Cap [W],VAV_4:DesPer 2:Des Heat Mass Flow [kg/s],VAV_4:DesPer 2:Des Heat Cap [W],VAV_4:DesPer 2:Des Cool Mass Flow [kg/s],VAV_4:DesPer 2:Des Sens Cool Cap [W],VAV_4:DesPer 2:Des Tot Cool Cap [W]
01:50:00,2.466931E-01,0.000000E+00,2.814987E+00,3.235279E+04,4.115068E+04,5.802891E-01,1.773621E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.738281E+00,1.989482E+04,2.592083E+04,6.770514E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.671881E+00,1.915336E+04,2.549678E+04,7.671720E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.145389E+00,2.446644E+04,3.141925E+04,7.793108E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
02:00:00,2.466931E-01,0.000000E+00,2.804220E+00,3.221518E+04,4.101002E+04,5.802531E-01,1.773827E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.726287E+00,1.975173E+04,2.577337E+04,6.769705E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.658809E+00,1.899823E+04,2.533575E+04,7.670645E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.129400E+00,2.427824E+04,3.122345E+04,7.792325E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
02:10:00,2.466931E-01,0.000000E+00,2.793701E+00,3.208468E+04,4.087661E+04,5.802176E-01,1.774030E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.714602E+00,1.961439E+04,2.563177E+04,6.768909E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.646066E+00,1.884908E+04,2.518078E+04,7.669587E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.113942E+00,2.409840E+04,3.103635E+04,7.791558E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
02:20:00,2.466931E-01,0.000000E+00,2.783377E+00,3.195636E+04,4.074535E+04,5.801826E-01,1.774230E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.703148E+00,1.947961E+04,2.549259E+04,6.768124E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.633566E+00,1.870263E+04,2.502835E+04,7.668544E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.098884E+00,2.392302E+04,3.085368E+04,7.790805E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
02:30:00,2.466931E-01,0.000000E+00,2.773280E+00,3.183058E+04,4.061664E+04,5.801480E-01,1.774428E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.691973E+00,1.934797E+04,2.535653E+04,6.767351E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.621364E+00,1.855952E+04,2.487924E+04,7.667518E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.084296E+00,2.375289E+04,3.067641E+04,7.790066E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
02:40:00,2.466931E-01,0.000000E+00,2.763372E+00,3.170690E+04,4.049004E+04,5.801139E-01,1.774623E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.681020E+00,1.921879E+04,2.522286E+04,6.766590E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.609397E+00,1.841902E+04,2.473263E+04,7.666508E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.070081E+00,2.358691E+04,3.050328E+04,7.789341E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
02:50:00,2.466931E-01,0.000000E+00,2.753685E+00,3.158569E+04,4.036595E+04,5.800802E-01,1.774816E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.670339E+00,1.909266E+04,2.509229E+04,6.765840E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.597720E+00,1.828176E+04,2.458935E+04,7.665513E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.056310E+00,2.342591E+04,3.033537E+04,7.788630E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
03:00:00,2.466931E-01,0.000000E+00,2.744211E+00,3.146686E+04,4.024431E+04,5.800470E-01,1.775006E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.659922E+00,1.896947E+04,2.496476E+04,6.765102E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.586324E+00,1.814765E+04,2.444931E+04,7.664534E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.042973E+00,2.326974E+04,3.017254E+04,7.787933E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
03:10:00,2.466931E-01,0.000000E+00,2.734836E+00,3.134914E+04,4.012371E+04,5.800142E-01,1.775194E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.649617E+00,1.884753E+04,2.483830E+04,6.764375E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.575048E+00,1.801487E+04,2.431037E+04,7.663569E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.029855E+00,2.311601E+04,3.001196E+04,7.787248E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
03:20:00,2.466931E-01,0.000000E+00,2.725599E+00,3.123295E+04,4.000464E+04,5.799819E-01,1.775379E+03,2.466931E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.639487E+00,1.872753E+04,2.471374E+04,6.763658E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.301569E-01,0.000000E+00,1.563959E+00,1.788418E+04,2.417346E+04,7.662619E-01,0.000000E+00,1.301569E-01,0.000000E+00,0.000000E+00,1.373048E-01,0.000000E+00,2.017044E+00,2.296573E+04,2.985484E+04,7.786577E-01,0.000000E+00,1.373048E-01,0.000000E+00,0.000000E+00
